"Mouse","Date","Conflict","APA","Behavior","E.phy"
"15-142C","7/6/15","NoConflict","Trained","Good","NG"
"15-143A","7/9/15","Conflict","Trained","Good","Yes"
"15-143B","7/9/15","Conflict","Yoked","Good","Yes"
"15-143C","7/10/15","NoConflict","Trained","Good","Yes"
"15-143D","7/10/15","NoConflict","Yoked","Good","Yes"
"15-144A","7/15/15","Conflict","Trained","Good","Yes"
"15-144B","7/15/15","Conflict","Yoked","Good","Yes"
"15-144C","7/18/15","NoConflict","Trained","Good","Yes"
"15-144D","7/17/15","NoConflict","Yoked","Good","Yes"
"15-145A","7/18/15","Conflict","Trained","Good","Yes"
"15-145B","7/18/15","Conflict","Yoked","Good","Yes"
"15-146A","7/23/15","Conflict","Trained","Good","Yes"
"15-146B","7/23/15","Conflict","Yoked","Good","Yes"
"15-146C","7/24/15","NoConflict","Trained","Good","Yes"
"15-146D","7/24/15","NoConflict","Yoked","Good","Yes"
"15-147","7/27/15",NA,NA,"Cage","Yes"
"15-147C","7/29/15","NoConflict","Trained","Good","Yes"
"15-147D","7/29/15","NoConflict","Yoked","Good","Yes"
"15-148","7/28/15",NA,NA,"Cage","Yes"
"15-148A","7/30/15","Conflict","Trained","Good","Yes"
"15-148B","7/30/15","Conflict","Yoked","Good","Yes"
